timestamp,open,close,high,low,volume
2020-01-06,143.18,143.62,145.12,137.8,35491791
2019-12-30,143.36,144.5,144.74,142.5,8176110
2019-12-23,142.3,143.42,144.68,140.88,12767841
2019-12-16,137.56,142.46,142.7,137.12,38450710
2019-12-09,132.98,137.9,137.98,131.52,36861300
2019-12-02,129.56,133.0,133.26,127.6,42730480
2019-11-25,128.3,129.42,132.46,126.9,28666750
2019-11-18,127.1,127.82,129.18,125.92,22383590
2019-11-11,130.8,126.64,132.5,125.8,25418030
2019-11-04,127.0,131.04,133.7,126.74,30596780
2019-10-28,123.2,126.14,129.2,122.7,31926500
2019-10-21,129.0,123.42,129.48,122.16,34666900
2019-10-14,130.84,128.8,131.5,124.3,30511370
2019-10-07,132.44,130.04,133.14,127.16,32156630
2019-09-30,142.42,131.88,142.56,130.9,39568710
2019-09-23,144.96,141.98,145.22,140.12,22139250
2019-09-16,148.4,144.7,150.36,143.06,35232540
2019-09-09,147.66,148.46,150.96,145.68,23676620
2019-09-02,148.82,146.66,149.62,143.02,25992560
2019-08-26,141.3,148.84,148.84,140.88,23941826
2019-08-19,139.32,142.4,143.0,138.06,20404310
2019-08-12,142.76,138.3,143.7,138.0,24912860
2019-08-05,146.8,142.46,147.16,141.56,21052470
2019-07-29,152.4,147.22,152.4,146.4,27171000
2019-07-22,155.48,151.8,157.28,151.8,16039813
2019-07-15,152.52,155.54,156.8,151.92,27300340
2019-07-08,156.82,151.92,158.8,151.02,33972600
2019-07-01,160.96,156.82,161.32,156.3,35396420
2019-06-24,171.64,159.7,173.68,159.64,46089740
2019-06-17,183.06,171.7,183.94,169.22,30260040
2019-06-10,172.74,183.2,185.42,172.22,16414600
2019-06-03,171.64,172.52,174.62,169.54,12033817
2019-05-27,164.0,172.32,172.88,163.4,18996950
2019-05-20,156.5,164.0,165.48,156.1,17651883
2019-05-13,162.58,156.42,164.22,156.42,14576400
2019-05-06,169.48,162.58,171.0,162.18,12957990
2019-04-29,174.0,169.5,175.18,169.3,15509086
2019-04-22,174.5,174.4,176.3,169.2,14668660
2019-04-15,172.7,174.3,174.5,168.1,8722300
2019-04-08,174.64,172.34,176.68,167.8,16390050
2019-04-01,170.6,173.98,175.74,170.22,11374397
2019-03-25,165.86,170.5,171.58,164.54,12533190
2019-03-18,167.0,166.7,171.52,166.06,17654055
2019-03-11,164.24,167.7,168.64,162.08,17373789
2019-03-04,157.4,165.5,167.5,156.08,19416170
2019-02-25,158.5,157.74,160.56,156.5,10931949
2019-02-18,157.24,158.5,158.5,152.76,11640510
2019-02-11,156.72,157.24,159.1,153.68,14036000
2019-02-04,157.4,157.34,161.18,155.68,16734770
2019-01-28,149.02,157.2,157.2,147.5,21036765
2019-01-21,151.9,148.82,152.7,144.74,18067820
2019-01-14,154.2,152.14,154.2,149.28,13205500
2019-01-07,150.98,154.5,155.08,149.64,12089160
2018-12-31,155.86,155.68,157.46,154.8,5814020
2018-12-24,152.36,157.42,157.92,148.72,9101360
2018-12-17,152.04,151.92,156.26,151.2,15975742
2018-12-10,158.0,151.64,158.44,150.74,14852025
2018-12-03,159.84,158.36,162.62,156.2,17784250
2018-11-26,165.5,158.36,165.88,157.2,18470443
