timestamp,open,close,high,low,volume
2020-03-23,188.0,180.38,201.0,180.17,676631910
2020-03-16,194.0,195.69,204.78,172.15,871442840
2020-03-09,197.99,198.6,212.74,173.14,843856990
2020-03-02,238.93,219.99,241.0,216.67,401445320
2020-02-24,247.98,233.36,251.21,231.0,291687340
2020-02-17,252.5,250.8,253.1,247.24,147074510
2020-02-10,254.55,251.75,259.77,251.4,230090620
2020-02-03,251.8,254.3,258.0,248.73,242662500
2020-01-27,261.0,252.2,262.1,252.17,219329610
2020-01-20,263.2,265.49,270.8,261.8,180107570
2020-01-13,258.3,262.5,263.22,254.21,187740097
2020-01-06,253.55,258.19,261.76,251.4,120345952
2019-12-30,252.1,255.0,258.19,250.73,79009200
2019-12-23,244.71,252.06,252.95,244.07,97951953
2019-12-16,242.48,244.71,248.4,240.13,208140705
2019-12-09,235.5,241.21,243.25,234.3,181379200
2019-12-02,234.59,235.14,236.37,229.03,135716710
2019-11-25,238.68,233.98,239.75,231.97,143925930
2019-11-18,240.57,238.13,241.23,235.8,148422890
2019-11-11,239.0,240.0,243.74,235.81,159135800
2019-11-04,239.6,240.17,242.95,236.52,152363787
2019-10-28,240.5,236.4,242.33,232.8,223686730
2019-10-21,236.0,240.0,242.78,234.04,193585605
2019-10-14,230.29,235.55,236.03,227.0,193345400
2019-10-07,223.13,230.31,231.2,222.41,180103460
2019-09-30,228.5,222.76,229.56,221.87,173139040
2019-09-23,231.7,228.05,232.17,225.3,160386850
2019-09-16,235.0,232.0,237.2,230.72,201026000
2019-09-09,229.88,233.0,235.9,227.1,187207030
2019-09-02,224.1,229.02,231.2,222.05,218009050
2019-08-26,217.5,224.2,225.2,215.61,210987040
2019-08-19,217.0,219.5,223.1,214.06,218294470
2019-08-12,222.38,215.05,225.72,212.88,234320330
2019-08-05,219.72,220.67,227.6,219.45,210418190
2019-07-29,230.75,220.81,237.55,220.3,254907911
2019-07-22,233.0,230.55,234.65,228.52,160675280
2019-07-15,237.9,232.85,238.59,232.25,172586260
2019-07-08,242.13,237.02,245.5,236.37,177458150
2019-07-01,240.98,242.83,243.9,239.7,165261130
2019-06-24,239.06,238.55,242.44,234.2,187563350
2019-06-17,239.0,238.02,244.99,236.36,241969560
2019-06-10,249.55,238.8,250.65,232.55,256304388
2019-06-03,231.18,248.28,249.0,230.35,337178150
2019-05-27,235.28,233.24,237.47,229.21,243682380
2019-05-20,228.23,234.45,237.4,225.1,266139430
2019-05-13,226.51,226.94,231.45,224.15,253468100
2019-05-06,228.75,227.0,234.34,226.11,181713000
2019-04-29,223.7,232.52,233.0,223.05,196467050
2019-04-22,233.7,223.18,237.56,222.08,339713050
2019-04-15,240.35,232.6,242.3,230.84,272588190
2019-04-08,227.93,239.5,247.23,227.9,519300670
2019-04-01,215.05,227.5,227.7,215.01,323788770
2019-03-25,206.63,214.42,219.25,205.55,394953330
2019-03-18,204.25,207.7,212.29,204.11,260640190
2019-03-11,203.2,203.55,206.89,202.56,193146730
2019-03-04,207.0,203.95,207.5,202.25,177103990
2019-02-25,205.5,206.54,209.0,202.9,284351400
2019-02-18,208.83,205.25,209.73,201.1,324104170
2019-02-11,211.0,208.0,220.7,201.7,443654570
2019-02-04,216.25,210.43,218.55,208.7,254819520
2019-01-28,212.0,216.29,218.7,206.91,315677210
2019-01-21,208.91,212.0,214.14,205.63,324031980
2019-01-14,195.7,208.44,208.44,194.0,294785180
2019-01-07,191.65,196.8,198.96,190.37,229754300
2018-12-31,186.37,190.99,191.5,186.0,72832550
2018-12-24,186.1,186.3,187.4,179.04,193975710
2018-12-17,184.63,186.79,191.82,180.37,350928790
2018-12-10,192.75,184.93,193.92,183.73,284500979
2018-12-03,197.99,195.01,201.9,190.11,318162900
2018-11-26,197.5,194.0,197.79,185.53,416256950
2018-11-19,198.98,197.3,200.7,191.81,276142380
2018-11-12,197.97,199.26,203.5,193.18,372883193
2018-11-05,194.5,195.75,204.7,193.73,355374161
2018-10-29,180.6,192.6,192.98,178.64,336400754
2018-10-22,184.86,181.0,189.25,177.02,450553180
2018-10-15,192.5,183.8,198.8,183.8,343654982
2018-10-08,187.0,191.85,196.04,182.3,424419412
2018-10-01,204.5,187.2,205.98,185.05,401428942
2018-09-24,194.6,203.32,205.67,193.59,431221077
2018-09-17,190.0,193.44,197.73,186.51,453879154
2018-09-10,175.03,188.71,189.04,165.9,587404911
2018-09-03,181.72,174.9,182.87,173.85,250527669
2018-08-27,181.47,182.0,185.57,175.61,270716855
2018-08-20,190.99,180.39,193.99,172.8,437100710
2018-08-13,182.05,189.55,195.98,180.15,367106703
2018-08-06,201.8,186.15,207.95,182.06,529288582
2018-07-30,207.77,202.21,215.2,202.0,263581348
2018-07-23,205.4,208.9,216.51,205.25,304669824
2018-07-16,230.1,204.34,231.0,201.1,379399647
2018-07-09,228.5,229.85,232.25,224.8,231711446
2018-07-02,217.01,226.71,227.59,216.0,222879430
2018-06-25,204.5,218.0,218.3,198.55,315987391
2018-06-18,209.0,214.43,215.0,202.11,299674361
2018-06-11,212.5,209.36,217.49,207.9,205882022
2018-06-04,221.13,210.95,222.67,210.25,219601760
2018-05-28,219.47,220.0,224.35,217.1,210702570
2018-05-21,223.79,220.0,227.27,219.0,218466260
2018-05-14,236.21,222.2,237.8,222.2,261732605
2018-05-07,230.17,235.72,237.95,224.5,220524265
2018-04-30,224.5,228.55,232.74,221.58,207165216
2018-04-23,216.48,224.8,228.43,213.22,436118040
2018-04-16,199.36,215.36,222.22,191.5,735057115
2018-04-09,255.05,204.7,255.3,197.0,922912662
2018-04-02,253.58,256.76,262.89,245.38,244332222
2018-03-26,262.0,253.57,264.87,250.75,190359160
2018-03-19,257.8,262.0,271.8,250.01,277216068
2018-03-12,276.05,256.15,277.3,249.76,290060373
2018-03-05,273.7,274.6,281.5,270.15,151066941
2018-02-26,279.0,273.0,285.0,268.56,245761541
2018-02-19,267.0,277.49,279.5,264.72,170048605
2018-02-12,253.0,266.99,268.77,251.67,258832655
2018-02-05,254.85,250.11,264.37,244.13,304734631
2018-01-29,247.5,257.32,270.3,246.0,316215213
2018-01-22,242.97,247.0,251.65,241.41,190486028
2018-01-15,239.0,242.45,246.69,236.01,184832862
2018-01-08,239.03,237.75,243.76,235.21,166507915
2018-01-01,226.88,238.6,239.95,226.35,119727539
2017-12-25,222.22,225.2,227.2,221.0,96587046
2017-12-18,227.49,221.44,228.9,221.12,149986592
2017-12-11,221.4,226.53,230.5,220.54,234018810
2017-12-04,222.0,220.89,226.0,219.23,162731285
2017-11-27,228.4,221.5,231.5,220.76,185375425
2017-11-20,225.7,228.0,233.95,222.15,227776648
2017-11-13,217.7,225.65,228.58,215.78,292893497
2017-11-06,196.5,217.7,229.4,195.56,483713375
2017-10-30,196.32,193.8,197.7,192.38,162238985
2017-10-23,193.41,196.05,196.18,190.13,159949860
2017-10-16,197.53,192.97,198.52,191.81,166128947
2017-10-09,194.2,196.48,197.29,192.58,168899849
2017-10-02,192.76,194.16,196.42,189.06,193015674
2017-09-25,187.37,192.33,195.0,186.37,266726973
2017-09-18,189.56,187.55,190.37,182.65,199946449
2017-09-11,186.7,188.75,192.31,186.0,242866601
2017-09-04,181.51,185.89,187.43,180.93,199937463
2017-08-28,180.6,183.66,186.33,179.2,221268255
2017-08-21,169.77,180.51,182.25,168.5,277435891
2017-08-14,173.0,169.5,175.3,168.13,181556733
2017-08-07,170.47,172.05,175.88,168.64,225919837
2017-07-31,165.53,169.73,170.98,163.88,250000514
2017-07-24,161.21,165.4,166.0,158.6,248807695
2017-07-17,161.8,162.1,164.91,159.82,210131747
2017-07-10,153.07,161.4,162.62,152.95,306697126
2017-07-03,146.65,152.16,152.5,146.22,235485910
2017-06-26,144.85,145.59,147.2,142.88,259253389
2017-06-19,142.5,144.1,147.1,141.78,258974012
2017-06-12,145.35,141.63,147.3,136.2,374636098
2017-06-05,157.1,150.13,158.89,148.25,240238197
2017-05-29,161.0,157.14,164.22,151.62,241816498
2017-05-22,170.5,160.7,170.5,160.62,196509396
2017-05-15,168.5,168.87,172.0,164.7,213558986
2017-05-08,167.0,167.7,172.39,166.41,140423887
2017-05-01,166.0,165.8,168.34,163.63,149187268
2017-04-24,161.09,165.2,166.0,161.0,222529871
2017-04-17,149.44,159.59,160.3,147.62,269580858
2017-04-10,159.26,149.24,159.86,148.6,275446405
2017-04-03,160.77,161.49,168.45,159.84,197977101
2017-03-27,163.03,159.8,164.9,159.51,148121034
2017-03-20,161.57,164.52,165.9,159.75,193970123
2017-03-13,157.49,161.15,162.85,155.86,275938679
2017-03-06,164.5,157.5,165.99,155.23,196708183
2017-02-27,166.01,164.4,166.34,155.65,275822484
2017-02-20,166.4,165.51,168.38,163.93,137004249
2017-02-13,166.05,165.49,167.12,160.0,253250615
2017-02-06,174.71,165.5,174.98,165.4,208834242
2017-01-30,177.5,173.8,178.0,171.75,200485699
2017-01-23,167.33,178.92,178.92,164.53,251628260
2017-01-16,165.22,167.49,168.19,163.34,197086632
2017-01-09,171.37,164.9,173.05,163.88,282680562
2017-01-02,173.4,170.69,181.68,169.5,165805091
2016-12-26,171.3,173.25,173.63,167.55,163116269
2016-12-19,174.76,171.15,185.34,168.55,262820216
2016-12-12,172.0,173.9,178.93,171.35,358003332
2016-12-05,158.76,169.66,170.87,158.43,323398590
2016-11-28,160.01,159.4,161.12,157.1,242427955
2016-11-21,150.9,160.36,163.42,150.9,282914773
2016-11-14,152.5,150.05,152.85,148.75,198909530
2016-11-07,143.8,151.51,155.57,142.5,342127416
2016-10-31,148.99,142.75,148.99,141.6,172462140
2016-10-24,149.21,149.2,152.23,148.32,160725173
2016-10-17,146.5,148.42,149.2,145.54,165044086
2016-10-10,149.33,146.73,152.44,145.76,209226916
2016-10-03,146.0,148.74,150.5,145.75,214631136
2016-09-26,149.9,145.34,152.45,144.6,247644852
2016-09-19,148.8,151.5,154.5,147.04,235404247
2016-09-12,149.73,147.0,152.1,147.0,226113280
2016-09-05,147.5,151.6,156.25,147.09,313640105
2016-08-29,144.47,146.88,147.09,142.51,237271722
2016-08-22,135.15,145.25,145.6,134.6,304493800
2016-08-15,140.25,135.8,141.08,135.52,252770907
2016-08-08,139.01,139.45,141.39,137.68,214883583
2016-08-01,140.0,138.69,141.21,134.27,237287660
2016-07-25,138.2,139.15,139.81,133.33,290272490
2016-07-18,138.43,137.8,141.1,137.41,229642599
2016-07-11,134.92,138.12,141.35,134.52,334210780
2016-07-04,134.65,134.41,135.84,127.85,305965230
2016-06-27,133.9,133.85,135.34,125.35,427469900
2016-06-20,132.45,133.4,138.28,129.12,308366553
2016-06-13,131.22,128.7,132.37,125.85,323678810
2016-06-06,132.08,133.5,142.0,132.0,359615590
2016-05-30,133.51,131.59,135.98,130.51,327253140
2016-05-23,121.3,133.2,134.79,120.12,439866040
2016-05-16,122.2,121.9,123.62,120.3,308182790
2016-05-09,119.8,121.07,124.38,118.57,297479850
2016-05-02,121.5,120.64,122.39,118.41,211312020
2016-04-25,121.01,123.55,125.78,116.75,434703375
2016-04-18,117.12,121.25,125.55,116.01,619142428
2016-04-11,113.0,119.3,119.95,112.62,533645170
2016-04-04,108.21,112.92,113.3,106.0,436439640
2016-03-28,110.0,108.52,110.59,105.35,429305059
2016-03-21,111.5,109.1,114.19,107.05,453696550
2016-03-14,109.28,109.47,110.29,106.09,362357280
2016-03-07,109.62,109.26,110.2,107.5,303767070
2016-02-29,105.5,108.99,109.2,104.81,469055440
2016-02-22,102.57,106.24,107.15,100.79,409753320
2016-02-15,96.0,101.5,103.57,94.93,595640780
2016-02-08,97.05,94.85,97.86,92.7,533832880
2016-02-01,96.27,97.2,98.56,93.71,534812920
2016-01-25,92.55,96.5,98.7,88.74,732938160
2016-01-18,86.01,91.5,92.28,82.2,700791300
2016-01-11,93.61,87.27,94.89,86.85,485411232
2016-01-04,101.0,96.85,101.78,96.83,141047050
2015-12-28,101.2,101.26,102.5,99.46,148496390
2015-12-21,98.9,101.34,103.89,97.65,300938570
2015-12-14,97.58,98.81,105.18,96.23,489111541
2015-12-07,103.45,98.15,104.9,96.95,549651910
2015-11-30,103.9,103.05,105.9,100.6,479977420
2015-11-23,106.88,104.55,110.7,103.7,620884760
